Country,FinancialSatisfactionAverage,FinancialSatisfaction1,FinancialSatisfaction2,FinancialSatisfaction3,FinancialSatisfaction4,FinancialSatisfaction5,FinancialSatisfaction6,FinancialSatisfaction7,FinancialSatisfaction8,FinancialSatisfaction9,FinancialSatisfaction10,HealthVeryGood,HealthGood,HealthFair,HealthPoor,VeryHappy,QuiteHappy,NotVeryHappy,NotHappyAtAll,WorkVeryImportant,WorkRatherImportant,WorkNotVeryImportant,WorkNotImportantAtAll,LeisureVeryImportant,LeisureRatherImportant,LeisureNotVeryImportant,LeisureNotImportantAtAll,FriendsVeryImportant,FriendsRatherImportant,FriendsNotVeryImportant,FriendsNotImportantAtAll,ReligionVeryImportant,ReligionRatherImportant,ReligionNotVeryImportant,ReligionNotImportantAtAll,FamilyVeryImportant,FamilyRatherImportant,FamilyNotVeryImportant,FamilyNotImportantAtAll
Argentina,6.5,6.8,2.0,4.4,3.7,11.3,14.3,18.5,21.0,5.5,11.3,33.2,45.5,18.6,2.6,32,55,10,1,70.4,25.7,2.2,1.2,40.1,42.4,14.6,1.8,59.4,25.9,11.8,2.3,33.1,31.6,23.7,10.5,91.4,7.5,0.7,0.2
Australia,6.3,5.3,2.9,5.8,6.1,13.7,12.6,16.4,18.0,8.2,9.6,26.3,48.1,20.4,4.6,35,56,7,1,34.5,45.4,8.4,6.7,44.8,45.7,6.9,0.3,57.6,36.2,4.7,0.1,19.2,19.4,30.9,28.9,93.7,4.6,1,0.1
Brazil,5.9,8.7,3.6,6.3,9.3,16.8,11.6,11.2,15.1,7.5,9.6,27.5,46.8,23.4,2.3,34,56,9,1,65.3,33.4,0.9,0.2,27,57.2,12.8,2.5,37.1,50.4,10.4,1.8,50.5,40.4,6.2,2.7,86.4,13.1,0.2,0.3
Chile,5.7,3.3,4.3,11.1,15.4,17.0,11.0,13.0,11.2,5.4,7.5,16.7,44.7,31.4,7.3,31,49,19,2,62.3,28.4,5.7,2.4,47.2,37.9,11.9,2.2,23.6,35.8,29.4,10.4,39.6,33.3,18.2,8.1,90.2,8.7,0.6,0.3
China,5.9,7.6,4.6,7.9,6.9,11.8,13.7,13.6,17.5,6.1,8.3,33.3,31.7,22.6,12.1,19,58,19,4,43.7,41.8,7.5,1.4,11.4,38.9,39.5,3.7,30.3,52.6,12.7,0.5,5,11.2,24.1,34.5,78.1,19.3,1.4,0.1
Taiwan,6.1,5.4,1.6,6.3,6.1,18.3,18.0,16.9,15.7,5.3,6.3,22.7,63.2,9.5,4.6,22,64,12,3,62.7,27.3,6.2,3.8,34.4,49.8,14.6,1.3,39.5,52.8,7.4,0.3,12.4,39.3,35.8,12.5,91.7,7.5,0.6,0.2
Georgia,3.8,18.7,10.9,18.3,14.4,18.0,7.8,6.5,2.8,0.2,1.5,12.6,29.3,38.3,19.7,12,54,29,4,77.9,13.3,5.4,3,39.3,44.3,12.3,3.2,78.1,20,1.5,0.2,79.5,16.9,1.9,0.9,98.7,0.9,0.1,0.1
Germany,6.1,3.2,2.9,6.8,8.8,16.6,12.9,17.2,19.4,7.0,3.5,26.3,44.9,23.1,5.1,19,62,14,2,49.6,30.2,10.2,5.1,29.7,53.1,13.8,2.4,52.4,41.6,5.2,0.3,11,22.2,28.4,36.2,81.5,15,2.7,0.4
India,5.3,4.9,0.0,23.1,0.0,39.6,0.0,17.6,0.0,0.0,12.1,21.9,46.7,24.4,6.8,29,46,22,3,67.9,25,3.9,1.5,23.6,36.1,24.2,12.6,42.3,41.1,11.5,2.8,49.7,28.3,13.4,5.3,90.1,8.5,0.8,0
Iraq,4.7,11.1,6.8,10.1,13.6,25.7,12.0,9.1,5.4,2.4,2.9,17.6,47.6,21.9,11.7,6,46,28,17,82.2,11.5,2.8,1.8,31.2,38.5,18.4,7.5,59.7,30.4,6.3,1.7,95.6,3.3,0.4,0.2,95.9,3.6,0.1,0.1
