Country,VeryHappy,LeisureVeryImportant,FriendsVeryImportant,ReligionVeryImportant,FamilyVeryImportant,WorkVeryImportant
Argentina,33.3,33.7,53.9,24.1,88.9,57.4
Australia,34.9,41.0,55.6,14.1,92.5,30.2
Brazil,35.2,32.8,33.0,51.5,87.4,63.6
Chile,24.4,56.1,35.1,23.8,91.7,56.3
China,15.7,21.2,46.6,2.6,85.7,38.1
Taiwan,26.0,35.5,44.0,17.7,90.9,60.2
Georgia,21.5,32.4,74.0,84.9,98.4,73.1
Germany,23.1,31.6,50.9,13.1,77.6,39.4
India,37.4,34.9,44.9,67.1,94.9,77.3
Iraq,10.5,16.8,47.8,84.7,92.9,66.0
Japan,32.3,42.3,45.0,5.4,90.8,52.1
Jordan,20.8,33.6,50.7,93.3,95.8,68.1
South Korea,15.2,30.8,49.3,25.7,91.3,60.8
Mexico,67.5,59.2,38.6,58.4,97.6,87.0
Morocco,21.0,16.9,35.8,88.9,90.7,82.5
Netherlands,31.9,40.4,49.6,10.7,85.5,29.5
New Zealand,33.7,47.8,57.0,18.7,92.9,35.0
Peru,35.1,37.0,23.5,49.9,85.3,69.1
Poland,22.2,35.0,38.3,45.7,92.1,64.2
Romania,13.6,34.1,22.4,50.5,93.1,55.9
Russia,14.8,29.4,34.6,14.3,85.0,45.0
Rwanda,40.6,31.4,72.1,40.3,91.7,70.5
Slovenia,19.5,41.2,44.2,11.2,88.7,41.3
South Africa,39.3,36.1,44.7,55.8,92.5,57.5
Spain,15.5,44.8,52.4,10.7,91.1,62.4
Sweden,40.5,53.6,67.8,7.9,89.2,50.3
Turkey,37.5,41.9,58.0,68.1,95.4,49.6
Egypt,5.3,21.1,54.9,94.1,97.4,61.0
United States,36.1,38.9,53.5,40.4,90.9,35.6
Uruguay,34.2,48.9,51.4,20.3,88.7,63.7
