Country,VeryHappy,LeisureVeryImportant,FriendsVeryImportant,ReligionVeryImportant,FamilyVeryImportant,WorkVeryImportant
Argentina,33.0,35.1,49.7,46.3,90.2,73.4
Australia,,,,,,
Brazil,,,,,,
Chile,36.0,53.3,29.1,46.3,96.4,74.8
China,11.5,7.1,19.9,2.5,60.2,49
Taiwan,,,,,,
Georgia,,,,,,
Germany,,,,,,
India,25.3,27.7,39.2,55.8,91.9,76.5
Iraq,13.2,30.5,59.6,93.5,97.3,85.2
Japan,27.8,42.3,46.6,6.4,91.3,46.6
Jordan,12.8,17.2,47.4,95.9,96.6,64.7
South Korea,9.6,23.8,44.8,23.2,89.6,62.3
Mexico,56.5,49.7,37.8,67.7,96.6,86.1
Morocco,22.3,38.6,37.2,95.6,93.4,89
Netherlands,,,,,,
New Zealand,,,,,,
Peru,30.8,22.8,24.6,52.5,82.4,68.2
Poland,,,,,,
Romania,,,,,,
Russia,,,,,,
Rwanda,,,,,,
Slovenia,,,,,,
South Africa,38.5,35.4,34.3,69.7,95.2,79.3
Spain,20.1,38.2,46.9,21.9,85.4,55.5
Sweden,36.6,53.9,70.7,10.6,89.4,54.1
Turkey,34.5,40.8,72.6,80.3,97.3,69.8
Egypt,18.1,9.1,37.3,97.3,96.4,71.5
United States,39.0,42.5,64.2,56.9,95.3,53.6
Uruguay,,,,,,
