Country,FinancialSatisfactionAverage,FinancialSatisfaction1,FinancialSatisfaction2,FinancialSatisfaction3,FinancialSatisfaction4,FinancialSatisfaction5,FinancialSatisfaction6,FinancialSatisfaction7,FinancialSatisfaction8,FinancialSatisfaction9,FinancialSatisfaction10,HealthVeryGood,HealthGood,HealthFair,HealthPoor,VeryHappy,QuiteHappy,NotVeryHappy,NotHappyAtAll,WorkVeryImportant,WorkRatherImportant,WorkNotVeryImportant,WorkNotImportantAtAll,LeisureVeryImportant,LeisureRatherImportant,LeisureNotVeryImportant,LeisureNotImportantAtAll,FriendsVeryImportant,FriendsRatherImportant,FriendsNotVeryImportant,FriendsNotImportantAtAll,ReligionVeryImportant,ReligionRatherImportant,ReligionNotVeryImportant,ReligionNotImportantAtAll,FamilyVeryImportant,FamilyRatherImportant,FamilyNotVeryImportant,FamilyNotImportantAtAll
Argentina,5.5,12.0,3.6,4.7,7.7,21.4,12.8,13.6,12.2,3.9,6.8,33.2,45.5,18.6,2.6,33,48,16,2,73.4,22.2,2.6,1.2,35.1,41.7,17.4,3.9,49.7,30.4,15.9,2.8,46.3,26.3,18.2,8.6,90.2,8.4,1,0.3
Australia,,,,,,,,,,,,26.3,48.1,20.4,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,27.5,46.8,23.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,
Chile,5.7,6.9,4.4,8.1,10.0,19.8,14.5,11.9,10.4,4.7,8.9,16.7,44.7,31.4,7.3,36,44,19,1,74.8,19.5,2.9,1.4,53.3,34.4,8.8,2.4,29.1,41.5,20.2,8.5,46.3,33.4,14.2,5.4,96.4,2.8,0.5,0.3
China,5.6,8.3,5.8,10.4,7.3,17.5,11.0,10.9,12.5,5.4,10.2,33.3,31.7,22.6,12.1,12,66,19,3,49,42.5,6,1.1,7.1,41.7,43.9,4.1,19.9,61.9,14.3,1.7,2.5,6.3,25.3,59.9,60.2,36.2,2.7,0.1
Taiwan,,,,,,,,,,,,22.7,63.2,9.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,12.6,29.3,38.3,19.7,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,26.3,44.9,23.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,
India,5.0,7.3,0.0,26.0,0.0,39.3,0.0,16.1,0.0,0.0,9.0,21.9,46.7,24.4,6.8,25,48,21,5,76.5,17.5,2.9,1.5,27.7,33.6,24.9,10.5,39.2,38.3,15.3,5.6,55.8,23.4,11.6,7.1,91.9,6,1.2,0.1
Iraq,5.4,6.5,5.1,8.3,9.6,24.6,13.9,13.6,9.5,3.1,5.7,17.6,47.6,21.9,11.7,13,49,26,10,85.2,10.6,2,1.2,30.5,34.2,22,10,59.6,31.9,6.2,1.2,93.5,5.2,0.6,0.2,97.3,2.2,0.1,0
Japan,6.2,3.1,2.5,5.6,6.8,12.8,19.2,15.0,18.4,4.2,5.1,13.5,40.1,37,8.7,28,59,10,1,46.6,37.6,9,1.8,42.3,46,8.1,0.1,46.6,45,5.2,0.1,6.4,13.1,31.6,36.4,91.3,6.4,0.7,0.1
Jordan,5.1,12.4,4.2,7.7,8.5,30.6,9.6,11.0,5.5,3.3,6.8,43.5,43.6,10.5,2.2,13,70,12,4,64.7,19.5,8.6,6.7,17.2,40,29.4,12.4,47.4,43.7,7.3,1.5,95.9,3.4,0.3,0.4,96.6,3.1,0.1,0.2
South Korea,5.8,6.3,2.7,7.5,7.8,18.9,16.1,15.7,12.2,5.1,5.8,13.1,66.5,19.1,1.3,10,78,11,2,62.3,30.5,5.1,2.1,23.8,60.9,13.5,1.8,44.8,50.7,4.1,0.3,23.2,28.9,31.3,16.4,89.6,10,0.4,0
Mexico,6.5,13.7,1.5,2.6,3.4,11.3,7.9,12.5,14.8,5.6,23.6,22.1,41.9,32.2,3.5,57,35,7,1,86.1,10.1,1.9,1,49.7,32.4,12.4,3.3,37.8,38.3,17.1,5.7,67.7,19.8,8.9,3.1,96.6,2.2,0.8,0.2
Morocco,5.1,8.3,5.3,10.5,9.2,33.7,9.3,8.7,5.2,2.3,7.2,38.4,36.2,21.8,3.6,22,58,15,5,89,7.4,2.2,0.4,38.6,35.1,16.4,9.4,37.2,33.1,18,11.6,95.6,3.6,0.6,0.2,93.4,5.4,0.7,0.3
Netherlands,,,,,,,,,,,,24.5,48.3,23.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,36.5,44.8,16.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,
